用户名,星级,时间,长评论,短评论
减肥日记,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-10-01 17:22                            
                            ","自驾来到张家界，居然看了一片仙气飘飘，撒也没有看见，有点失望呀，天门山索道还是不错的，说是几个亿的索道，坐在里面稳当的很，手扶电梯也超级牛逼，下山需要买票32一人，扶梯有好多段，32物有所值，走路可以走残废，下次再来，如果山下说有雾就不要上去了，真有雾撒也看不见，不带一点希望的，天晴座高铁再来一次		                            收起评价","自驾来到张家界，居然看了一片仙气飘飘，撒也没有看见，有点失望呀，天门山索道还是不错的，说是几个亿的索道，坐在里面稳当的很，手扶电梯也超级牛逼，下山需要买票32一人，扶梯有好多段，32物有所值，走路可以走残废，下次再来，如果山下说有雾就不要上去了，真有雾撒也看不见，不带一点希望的，天晴座高铁再来一次		                            收起评价"
我想静静,<span class="sml-rank-stars sml-str35 star"></span>,"
2023-10-01 15:58                            
                            ","看网上推荐说景色特别美，但是说真的我啥也没看见我来的这几天持续下雾，9月30号去天门山的时候更是下起了大雨，雨像是从天上倒下来的一般大。所有的景色全部被遮住了，进入山里感觉像进了蓬莱仙境，由于下雾能见度只有5米。交通：1-首先从酒店坐车到天门山索道公司，从那边坐索道直达天门山山顶。2-我选择的是东线，中间经过珙桐园，李娜别墅，盘龙崖玻璃栈道，自动穿山扶梯。3-然后下999级台阶到达天门山洞口4-乘坐天门山快线索道下山，看中间宣传，山脚下有天门狐仙的演出表演，晚上8点开始。（因为我晚上要赶去长沙，没有时间观看，否则我认为还是值得观看的）饮食：下山后乘坐景区内的环保大巴坐到天门山索道公司，也就是早上出发的地方，看到附近有一家富正义三下锅，于是选择在这家吃饭，味道还是很好的。                            		                            收起评价","看网上推荐说景色特别美，但是说真的我啥也没看见我来的这几天持续下雾，9月30号去天门山的时候更是下起了大雨，雨像是从天上倒下来的一般大。所有的景色全部被遮住了，进入山里感觉像进了蓬莱仙境，由于下雾能见度只有5米。交通：1-首先从酒店坐车到天门山索道公司，从那边坐索道直达天门山山顶。2-我选择的是东线，中间经过珙桐园，李娜别墅，盘龙崖玻璃栈道，自动穿山扶梯。3-然后下999级台阶到达天门山洞口4-乘坐天门山快线索道下山，看中间宣传，山脚下有天门狐仙的演出表演，晚上8点开始。（因为我晚上要赶去长沙，没有时间观看，否则我认为还是值得观看的）饮食：下山后乘坐景区内的环保大巴坐到天门山索道公司，也就是早上出发的地方，看到附近有一家富正义三下锅，于是选择在这家吃饭，味道还是很好的。                            		                            收起评价"
食莫食莫,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-10-01 15:20                            
                            ","交通：索道非常值得一坐，前提是天气好！特色体验：走不动道的人直接走东线，比较轻松！推荐理由：完全不推荐，这种天气千万别来！！tips：鞋套、雨衣一定要穿！如果说前两天的武陵源一塌糊涂，那今天的天门山简直就是坑王之王，什么都看不到，全身湿透！                            		                            收起评价","交通：索道非常值得一坐，前提是天气好！特色体验：走不动道的人直接走东线，比较轻松！推荐理由：完全不推荐，这种天气千万别来！！tips：鞋套、雨衣一定要穿！如果说前两天的武陵源一塌糊涂，那今天的天门山简直就是坑王之王，什么都看不到，全身湿透！                            		                            收起评价"
绿萝叶子,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-10-01 14:38                            
                            ","天门山是张家界旅游的另一个必打卡的地点，一个云在半山腰的地方，天门洞开鬼斧神工山顶有个天门寺特别安静，这次去有幸瞻仰了寺里刚请回来的舍利，天门山的索道也是一大特色，超长的距离可以从市区一直坐到山顶，体验非常特别。                            		                            收起评价","天门山是张家界旅游的另一个必打卡的地点，一个云在半山腰的地方，天门洞开鬼斧神工山顶有个天门寺特别安静，这次去有幸瞻仰了寺里刚请回来的舍利，天门山的索道也是一大特色，超长的距离可以从市区一直坐到山顶，体验非常特别。                            		                            收起评价"
fengwujiyi,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-10-01 12:56                            
                            ","来张家界玩两天，昨天去了森林公园，今天选择了天门山，酒店就住在天门山索道的附近，早上吃完早饭走过去就到了入口，天门山可以选择ABC线，我们选择的是B线，到了入口处会先需要坐一段大巴车，然后才能到做快速索道的地方，到了山上之后就是999级台阶，早上上山雨雾弥漫，基本上没有看到什么风景很遗憾没有看到天门洞，继续游览我们选择了西线，这里要提醒一下，最近人不多，所以下山的索道不需要去提前排队，到了山顶之后选择喜欢的线路游玩就可以了，山上的天气比较多变，如果湿度比较大，还是建议要带上雨衣和防滑的鞋套，玻璃栈道要收五块钱的费用，同时山上阳光虽然看起来不刺眼，但时期是紫外线还是比较强的，做好防晒，有条件的可以带上墨镜，天门山和森林公园的区别是这里面的门票费用是包含了索道的费用的，景区的这个大交通是不用额外付费的，森林观光车需要额外付费，但坐的时间也比较长，还是很值得，如果爬山的时候发现你走的这段路没有一个人就要小心是不是走错了路，虽然最终都能回到同样的目的地，但可能会错过一些风景，最终如果选B线的话，由天门山索道下山是直接到市区的，很适合需要赶高铁去下一站的朋友们                            		                            收起评价","来张家界玩两天，昨天去了森林公园，今天选择了天门山，酒店就住在天门山索道的附近，早上吃完早饭走过去就到了入口，天门山可以选择ABC线，我们选择的是B线，到了入口处会先需要坐一段大巴车，然后才能到做快速索道的地方，到了山上之后就是999级台阶，早上上山雨雾弥漫，基本上没有看到什么风景很遗憾没有看到天门洞，继续游览我们选择了西线，这里要提醒一下，最近人不多，所以下山的索道不需要去提前排队，到了山顶之后选择喜欢的线路游玩就可以了，山上的天气比较多变，如果湿度比较大，还是建议要带上雨衣和防滑的鞋套，玻璃栈道要收五块钱的费用，同时山上阳光虽然看起来不刺眼，但时期是紫外线还是比较强的，做好防晒，有条件的可以带上墨镜，天门山和森林公园的区别是这里面的门票费用是包含了索道的费用的，景区的这个大交通是不用额外付费的，森林观光车需要额外付费，但坐的时间也比较长，还是很值得，如果爬山的时候发现你走的这段路没有一个人就要小心是不是走错了路，虽然最终都能回到同样的目的地，但可能会错过一些风景，最终如果选B线的话，由天门山索道下山是直接到市区的，很适合需要赶高铁去下一站的朋友们                            		                            收起评价"
忒弥斯的秤与剑,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-10-01 09:33                            
                            ","首先，天气不好比如阴天千万不要去，全程都只能看到白茫茫的大雾，包括山顶。其次，稍微有时间观念、对生活有丁点品质要求的千万不要在五一、国庆、周末或其他法定节假日去，游览1小时，等下山索道3.5小时，所谓按照ABCDEF…时段排队就是一个笑话，景区管理混乱，我们在下山索道那个比春运更混乱的一锅乱粥脏乱差的地方老老实实等了3个小时总算听到大喇叭喊号之后，发现拥挤的人群里面各种后面号段的人都有，简直气疯了，保安个个都无执行力压根不认真检查号段谁勇谁就能冲下去，从上层到下层毫无组织协调能力，晚上8：30还有黑压压的一大片人在等待，随时随地有发生踩踏事件的可能，天门山这个景区以一己之力拉低了大家对张家界市的整体评价，管理者好好反省一下自己		                            收起评价","首先，天气不好比如阴天千万不要去，全程都只能看到白茫茫的大雾，包括山顶。其次，稍微有时间观念、对生活有丁点品质要求的千万不要在五一、国庆、周末或其他法定节假日去，游览1小时，等下山索道3.5小时，所谓按照ABCDEF…时段排队就是一个笑话，景区管理混乱，我们在下山索道那个比春运更混乱的一锅乱粥脏乱差的地方老老实实等了3个小时总算听到大喇叭喊号之后，发现拥挤的人群里面各种后面号段的人都有，简直气疯了，保安个个都无执行力压根不认真检查号段谁勇谁就能冲下去，从上层到下层毫无组织协调能力，晚上8：30还有黑压压的一大片人在等待，随时随地有发生踩踏事件的可能，天门山这个景区以一己之力拉低了大家对张家界市的整体评价，管理者好好反省一下自己		                            收起评价"
吃不够锅包肉,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-10-01 07:50                            
                            ","交通：当地很多公交都到天门山索道口，打车也不贵，很方便便捷，离张家界火车站也不远，好多公交车也都直达索道口天门山游玩有三个路线a线隧道直登山顶，然后下999台阶，快下索道下山b线快线索道上山，然后上999台阶，在上山游玩c线走回头路了应该，c线忘了个人觉得a线为最佳游玩方案，b线真的会很累很累推荐理由：大自然的馈赠，自然形成的天门洞口，值得一看，999台阶值得体验一次，从市里开始的最长索道值得坐一次                            		                            收起评价","交通：当地很多公交都到天门山索道口，打车也不贵，很方便便捷，离张家界火车站也不远，好多公交车也都直达索道口天门山游玩有三个路线a线隧道直登山顶，然后下999台阶，快下索道下山b线快线索道上山，然后上999台阶，在上山游玩c线走回头路了应该，c线忘了个人觉得a线为最佳游玩方案，b线真的会很累很累推荐理由：大自然的馈赠，自然形成的天门洞口，值得一看，999台阶值得体验一次，从市里开始的最长索道值得坐一次                            		                            收起评价"
爱飞翔的小肥羊,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-10-01 07:38                            
                            ","小肥羊·旅行｜张家界·天门山??中国人此生必须要爬一次天门山，感受大自然的鬼斧神工，悉心享受宇宙的馈赠。?位置：大众点评和各种地图软件都精准，毕竟老牌景区了，方方面面都很成熟。?门票：275左右（黄牛和旅行社可能会便宜二十元左右，但是务必看好时间限制）?人均：旺季和淡季简直就是天壤之别。淡季时候酒店一两百随便选，旺季一两千住的也比较一般。特色体验：我们选择的B路线，因为我们觉得A路线下山很难、很费膝盖。而且对于恐高的人很危险。?缆车：张家界的缆车绝对是中国之最，太棒了。稳定、超大、时间超久，美景一览无余。包含在门票里喽～?餐饮：因为游客太多了使得山顶上的餐饮很没服务意识，我们买了一个汉堡，因为身体不舒服要一杯热水都不给……让我对汉堡王很失望??山顶一共有两条游玩路线，一个大圈，一个小圈。我们转的小圈，登顶后，望着高耸入云的山峰，如临仙境，一览众山小的画面一下就出来了。                            		                            收起评价","小肥羊·旅行｜张家界·天门山??中国人此生必须要爬一次天门山，感受大自然的鬼斧神工，悉心享受宇宙的馈赠。?位置：大众点评和各种地图软件都精准，毕竟老牌景区了，方方面面都很成熟。?门票：275左右（黄牛和旅行社可能会便宜二十元左右，但是务必看好时间限制）?人均：旺季和淡季简直就是天壤之别。淡季时候酒店一两百随便选，旺季一两千住的也比较一般。特色体验：我们选择的B路线，因为我们觉得A路线下山很难、很费膝盖。而且对于恐高的人很危险。?缆车：张家界的缆车绝对是中国之最，太棒了。稳定、超大、时间超久，美景一览无余。包含在门票里喽～?餐饮：因为游客太多了使得山顶上的餐饮很没服务意识，我们买了一个汉堡，因为身体不舒服要一杯热水都不给……让我对汉堡王很失望??山顶一共有两条游玩路线，一个大圈，一个小圈。我们转的小圈，登顶后，望着高耸入云的山峰，如临仙境，一览众山小的画面一下就出来了。                            		                            收起评价"
cyfuzhou,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-09-30 23:54                            
                            ","非常推荐买A类票这样可以从天门山索道直接上去，下来这样是最省力的缆车上去，观光车回来然后走西线看风景，走到天门寺那里山崖风景基本结束从樱桃湾餐厅走东线，往木石之恋方向走，路过石门锁翠后，走七级扶梯到天门洞。短暂停留后，可以选择走999楼梯下山，也可以自费电梯下去。拍照完，自行走到大门口，乘坐免费观光车到天门山索道站。                            		                            收起评价","非常推荐买A类票这样可以从天门山索道直接上去，下来这样是最省力的缆车上去，观光车回来然后走西线看风景，走到天门寺那里山崖风景基本结束从樱桃湾餐厅走东线，往木石之恋方向走，路过石门锁翠后，走七级扶梯到天门洞。短暂停留后，可以选择走999楼梯下山，也可以自费电梯下去。拍照完，自行走到大门口，乘坐免费观光车到天门山索道站。                            		                            收起评价"
说话小心点别来惹我,<span class="sml-rank-stars sml-str30 star"></span>,"
2023-09-30 20:52                            
                            ","下雨天去天门山的朋友慎重！！！仿佛去天上参加王母娘娘的蟠桃盛会，三米开外就看不清。玻璃栈道根本不慌，因为看不清楚啊。三百来块，看了个寂寞。。。因为看不清楚，所以走了一小段路就下山了。大冤种就是我。。。下次去其他的景点吧还是                            		                            收起评价","下雨天去天门山的朋友慎重！！！仿佛去天上参加王母娘娘的蟠桃盛会，三米开外就看不清。玻璃栈道根本不慌，因为看不清楚啊。三百来块，看了个寂寞。。。因为看不清楚，所以走了一小段路就下山了。大冤种就是我。。。下次去其他的景点吧还是                            		                            收起评价"
忆年_8854,<span class="sml-rank-stars sml-str50 star"></span>,"
                                2023-09-30
??更新于2023-10-01 01:45                            
                            ","张家界我仰慕已久，但是我这次去的却只有天门山，上下台阶确实陡峭，但是总和我在广告，电视里看到的张家界距离甚远，我不知道哪里出了问题，我想去的是电视广告上的那个张家界啊，那个张家界森林公园，那个莽莽林原，突见奇峰的地方，还是得自驾。                            		                            收起评价",必须去一次的公园和同学一起去的，玩得很开心。武陵源金鞭溪环境真的爱惨了。
xuem_1980,<span class="sml-rank-stars sml-str35 star"></span>,"
2023-09-30 16:44                            
                            ","我们选的民宿离公园很近 自然风光真的是很美 门票可以管4天 仔细游玩真的需要个两三天 出行很方便 家庭旅游 没抱团 自己游玩完全没负担 拿着地图自己看 也可以找地导 可能是200多一天 具体的不清楚 我们就去自己玩的 推荐 推荐 推荐                            		                            收起评价","张家界我仰慕已久，但是我这次去的却只有天门山，上下台阶确实陡峭，但是总和我在广告，电视里看到的张家界距离甚远，我不知道哪里出了问题，我想去的是电视广告上的那个张家界啊，那个张家界森林公园，那个莽莽林原，突见奇峰的地方，还是得自驾。                            		                            收起评价"
ff,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-09-30 14:15                            
                            ","为了赚回门票，把天门山全逛了，累薯。选择了B线，8月份去的，不知道是不是暑假人多的原因，下山回去等索道的时候等了五个小时，人都要疯了，如果再次选择，我还是选择A线吧，索道上去，走路下来，这样不用浪费我这么长时间。除了这个，其他体验感还是可以的，大自然的气息很舒服。夏天虽然很热，但是那里比较清凉。还想冬天下雪的时候再去一次                            		                            收起评价",张家界还是值得一去，奇山异水，就记得这个山上猴子贼多，但还算有素质04年或者05年去的
匿名用户,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-09-30 11:37                            
                            ","游玩天门山，门票需要提前预约购买，今天中秋节网上至10.4号之前的a和B线路都已售馨，a线路是购买最多的线路，市区坐索道直达山顶游玩东西区线路在经过7级扶梯，A线路都是网上炒作所以人多，总结一句，喜欢爬山的购买B线路，喜欢下山的购买A线路，AB线路景区都有免费摆渡车，车程十分钟左右，没遇到好天气都是大雾看不清门洞，来游玩还是需要提前看天气预报选择没雾天气                            		                            收起评价","为了赚回门票，把天门山全逛了，累薯。选择了B线，8月份去的，不知道是不是暑假人多的原因，下山回去等索道的时候等了五个小时，人都要疯了，如果再次选择，我还是选择A线吧，索道上去，走路下来，这样不用浪费我这么长时间。除了这个，其他体验感还是可以的，大自然的气息很舒服。夏天虽然很热，但是那里比较清凉。还想冬天下雪的时候再去一次                            		                            收起评价"
蛋定娃_6432,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-09-30 11:20                            
                            ","对张家界早已垂涎已久，有机会当然不能错过。由于时间紧凑，没办法去武陵源呆两天，就选择了天门山一日游，时间刚刚好。早上从长沙高铁出发到张家界西站，打车直接到天门山停车场，B线直接坐缆车到天门洞下，然后沿着天梯爬上去。看着天门洞惊叹于张家界的钟灵毓秀，鬼斧神工；转过身看着盘山公路和缆车，感叹于人类的伟大。不得不说一句，天梯虽然不长，爬上去也挺累的。接着做扶梯直接到山顶，东线西线建议都逛逛，时间很充裕。推荐西线的玻璃栈道和天门山悬桥，走走逛逛大概三个小时，然后坐缆车下山。下次准备去看看桃花源那边，体验百龙天梯啦。                            		                            收起评价",确实惊艳，景色宜人。大自然的味道，呼吸呼吸新鲜空气。值得一去。景区能坐车千万别走路，否则费脚。猴有点多，别惹它就行???
刘总管,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-09-30 07:58                            
                            ","这的风景 真的超级美，爬过的最美的山啦，如果喜欢看风景，喜欢山这里超级超级推荐，就是上山需要坐 6段不同的车，有点中暑的我坐完盘山路的车缓了好久，晕车的人需要提前吃药了，但是景色真的超美，天门山也推荐，这两个地方都强烈推荐！                            		                            收起评价",天门山张家界必备景点中秋游以山山结束啦明日回津开启逛吃之旅下一站北京我要去泡泡玛特主题乐园
軌之迹,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-09-29 22:35                            
                            ","?特色体验:有玻璃走廊，走在上面风景特别好，也算是有特色的景点之一；还有索道，喜欢刺激活动的人狂喜，不过不喜欢的人可能有点困难，路线上避不掉的。路线设计得非常合理，不用走回头路。风景从高俯瞰的景色绝美，选择半程行走也不会很累。                            		                            收起评价","游玩天门山，门票需要提前预约购买，今天中秋节网上至10.4号之前的a和B线路都已售馨，a线路是购买最多的线路，市区坐索道直达山顶游玩东西区线路在经过7级扶梯，A线路都是网上炒作所以人多，总结一句，喜欢爬山的购买B线路，喜欢下山的购买A线路，AB线路景区都有免费摆渡车，车程十分钟左右，没遇到好天气都是大雾看不清门洞，来游玩还是需要提前看天气预报选择没雾天气                            		                            收起评价"
耿先森,<span class="sml-rank-stars sml-str10 star"></span>,"
2023-09-29 21:45                            
                            ","张家界天门山A线好还是B线好天门山森林公园分为A,B.C三条线路主要推荐A,B两条线路需要提前一天购买门票时段选择中午12点之前为佳A线:直接在索道公司取票→在索道下站乘坐大索道直接上到天门山→乘坐时间20分钟左右→山顶游玩时间大概4小时，走到天门洞前广场位置便可以乘坐快速索道下山了特点:A线是由山下往山上前行的，所以景色都是慢慢展现出来的，在到达山顶的那一刻，会有一种景色尽收眼底的感觉，到达天门洞可以下999阶梯 B线:在索道公司取票→然后乘坐索道公司的巴士抵达天门狐仙位置→再乘坐快速索道上山一游玩时间也是大概4小时一走到索道上站时，便可乘坐大索道下山特点:B线是由快速到达山顶，由上往下前行的，俯视景色向下前行，欣赏沿途的风景，最后可以乘坐大索道，放松身心的欣赏沿途风光，需要爬999阶梯根据自己的情况选择适合自己的线路。不想爬999阶梯可以选择A线，个人感觉最合理，到了山顶往下玩很节省体力                            		                            收起评价",提前5 -6天 退票还得花30 不理解  这这样搞旅游 吃相太难看
吃货_小小跟屁虫,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-09-29 21:28                            
                            ","张家界天门山之行，震撼心灵的奇妙体验近日，我和几位好友前往张家界，探寻神奇的天门山。这次旅行，绝对是我人生中难以忘怀的一次体验，令我心灵为之震撼。首先，天门山的壮丽景色真是令人叹为观止。我们乘坐玻璃栈道，一路上可以欣赏到壮丽的峡谷风光，令人仿佛身临其境。栈道的高度和玻璃透明的设计，让我们仿佛漫步在天空之中，无比刺激令人兴奋。而当我们抵达天门山顶部时，云雾弥漫，仿佛置身于仙境中。视野开阔，让人感到无比的宁静与祥和，仿佛可以凝望到远方的宇宙。其次，天门山的特色景点——天门洞，更是令人叹为观止。我们乘坐超长的索道，一路上可以俯瞰山间的美景。而当我们走进天门洞时，才真正感受到了它的壮丽和震撼。天门洞高耸入云，两侧的峭壁陡峭而险峻，给人一种无边无际、世外桃源的感觉。站在洞口，远离尘嚣，仿佛与大自然融为一体，心境得到了极大的升华。最让我难忘的是天门山的刺激体验。我们尝试了天门山的刺激项目——玻璃栈道。栈道外几千米的高空，安全栏杆则是完全透明的玻璃，脚下无边无际的深渊。有时候，我不敢看下去，但是当我鼓起勇气往下看时，才真正体会到了恐惧与刺激的交织。不得不说，这是一次绝对不平凡的体验。此外，天门山的旅游服务也是值得称赞的。工作人员服务热情周到，景区管理有序，让我们的旅行更加顺畅和愉快。综上所述，张家界天门山之行是一次令人心灵震撼的旅行体验。壮丽的自然景观、刺激的体验项目、以及优质的旅游服务，让我们收获了难以言喻的快乐与感动。如果你对自然美景和刺激体验充满向往，我强烈推荐你前往张家界的天门山，相信你也会被这里的神奇所折服，留下一段难忘的回忆。                            		                            收起评价","对张家界早已垂涎已久，有机会当然不能错过。由于时间紧凑，没办法去武陵源呆两天，就选择了天门山一日游，时间刚刚好。早上从长沙高铁出发到张家界西站，打车直接到天门山停车场，B线直接坐缆车到天门洞下，然后沿着天梯爬上去。看着天门洞惊叹于张家界的钟灵毓秀，鬼斧神工；转过身看着盘山公路和缆车，感叹于人类的伟大。不得不说一句，天梯虽然不长，爬上去也挺累的。接着做扶梯直接到山顶，东线西线建议都逛逛，时间很充裕。推荐西线的玻璃栈道和天门山悬桥，走走逛逛大概三个小时，然后坐缆车下山。下次准备去看看桃花源那边，体验百龙天梯啦。                            		                            收起评价"
Malzy琳,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-09-29 19:17                            
                            ","想要看最美的自然风光 感觉此生一定要去一次张家界天门山一进入张家界市就感觉这个城市的发展就是在伴随着旅游为基础而随之发展的空气很清新 专家还曾经说过 在张家界呼吸一口新鲜空气 价值五美金 自然风光 空气都很好 景色也很优美就是交通上感觉 大多数都选择跟团游 没有很多出租车 景区人很多 到哪都需要排队 天门山洞可选择坐电梯 也可以爬楼梯 但是我个人建议走电梯 因为山里的天气时好时坏 极有可能走一半楼梯就下雨了 山上还有许多小猴子 都挺可爱 很亲人 如果选择一些人迹稀少的地方 据导游说猴子就会攻击人 去的友友们要注意一下想要看让人眼前一亮的自然风光 就可以选择来张家界玩                            		                            收起评价","这的风景 真的超级美，爬过的最美的山啦，如果喜欢看风景，喜欢山这里超级超级推荐，就是上山需要坐 6段不同的车，有点中暑的我坐完盘山路的车缓了好久，晕车的人需要提前吃药了，但是景色真的超美，天门山也推荐，这两个地方都强烈推荐！                            		                            收起评价"
Vanilla,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-09-29 18:04                            
                            ","周末来的，人比较多，赶上天气一般，山顶上雾蒙蒙的，天门山那个滑翔穿越的洞也没看到，不过环境是不错，雨天还是要注意安全的，特别是小朋友，安全第一，下去的时候做的缆车，风景超级棒，就是时间太短了，速度也有点快了                            		                            收起评价","?特色体验:有玻璃走廊，走在上面风景特别好，也算是有特色的景点之一；还有索道，喜欢刺激活动的人狂喜，不过不喜欢的人可能有点困难，路线上避不掉的。路线设计得非常合理，不用走回头路。风景从高俯瞰的景色绝美，选择半程行走也不会很累。                            		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-09-29 17:36                            
                            ","花200请了一位导游带我们走了7.8km的大环线，天门山风景不错，总体感受就是如果一个地方拍照不出片就换下一个地方吧，早上在天门洞那里等了一个多小时等雾散也没有等到，下午下山的时候在缆车上随手拍的就很好看尝了景区的两种茶，都很好喝，各买了一罐，价格嘛大家冷暖自知。我们买的是b线，外加999台阶的扶梯票。小伙伴们体力不太一样，但是第二天感受都还行推荐指数四颗星，据说张家界的森林公园风景更好看                            		                            收起评价","张家界天门山A线好还是B线好天门山森林公园分为A,B.C三条线路主要推荐A,B两条线路需要提前一天购买门票时段选择中午12点之前为佳A线:直接在索道公司取票→在索道下站乘坐大索道直接上到天门山→乘坐时间20分钟左右→山顶游玩时间大概4小时，走到天门洞前广场位置便可以乘坐快速索道下山了特点:A线是由山下往山上前行的，所以景色都是慢慢展现出来的，在到达山顶的那一刻，会有一种景色尽收眼底的感觉，到达天门洞可以下999阶梯 B线:在索道公司取票→然后乘坐索道公司的巴士抵达天门狐仙位置→再乘坐快速索道上山一游玩时间也是大概4小时一走到索道上站时，便可乘坐大索道下山特点:B线是由快速到达山顶，由上往下前行的，俯视景色向下前行，欣赏沿途的风景，最后可以乘坐大索道，放松身心的欣赏沿途风光，需要爬999阶梯根据自己的情况选择适合自己的线路。不想爬999阶梯可以选择A线，个人感觉最合理，到了山顶往下玩很节省体力                            		                            收起评价"
十二年级,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-09-29 17:03                            
                            ","交通：我们选择住在了天门山附近的某连锁酒店，很方便，然后直接卧铺回来了的，张家界火车站离天门山很近，高铁站有20分钟出租车距离。特色体验:天门山特色就是这个很刺激的索道，说是世界前三长的索道，要坐30min，有点小刺激。一辆里面能坐8人。推荐理由:离云很近，很漂亮，很高tips:1.带老人玩的话还可以，我们坐的是a线，先坐车上去，再慢慢下去，推荐最多的也是这条线，也蛮合理的。b线时间充裕的话，不着急的话也还可以，c线真的不推荐，累人。2.山上物价，水是6元，饮料什么的8元，和朋友出游aa的话还能接受，毕竟水比较重，背着麻烦。我们在山上吃了炸酱面和番茄鸡蛋面，38一份，蛮难吃的，没味道。3.上去之后也有两条线，貌似叫东线和西线，我们当时先走了东线，蛮累人的，一直要爬坡。它是一个圈，走完东线再走西线，感觉西线路更平，风景也更好看，看大家自己选择。怕累的话可以只走西线，但是来都来了哈哈哈，看大家自己选择。4.山上看完了，再坐扶梯下去，坐了一个又一个，好多个，具体没数。a线就是先逛了上面，再逛下面，下去就不能上来了。b线就是先看洞，再坐扶梯上去，上去就不能再去看懂了。5.下去后，虽然我们很累但是还是选择走楼梯，可以拍拍照歇歇，有老人可以坐扶梯，需要另外买票。总结：真的不错哦，值得一去~                            		                            收起评价","张家界天门山之行，震撼心灵的奇妙体验近日，我和几位好友前往张家界，探寻神奇的天门山。这次旅行，绝对是我人生中难以忘怀的一次体验，令我心灵为之震撼。首先，天门山的壮丽景色真是令人叹为观止。我们乘坐玻璃栈道，一路上可以欣赏到壮丽的峡谷风光，令人仿佛身临其境。栈道的高度和玻璃透明的设计，让我们仿佛漫步在天空之中，无比刺激令人兴奋。而当我们抵达天门山顶部时，云雾弥漫，仿佛置身于仙境中。视野开阔，让人感到无比的宁静与祥和，仿佛可以凝望到远方的宇宙。其次，天门山的特色景点——天门洞，更是令人叹为观止。我们乘坐超长的索道，一路上可以俯瞰山间的美景。而当我们走进天门洞时，才真正感受到了它的壮丽和震撼。天门洞高耸入云，两侧的峭壁陡峭而险峻，给人一种无边无际、世外桃源的感觉。站在洞口，远离尘嚣，仿佛与大自然融为一体，心境得到了极大的升华。最让我难忘的是天门山的刺激体验。我们尝试了天门山的刺激项目——玻璃栈道。栈道外几千米的高空，安全栏杆则是完全透明的玻璃，脚下无边无际的深渊。有时候，我不敢看下去，但是当我鼓起勇气往下看时，才真正体会到了恐惧与刺激的交织。不得不说，这是一次绝对不平凡的体验。此外，天门山的旅游服务也是值得称赞的。工作人员服务热情周到，景区管理有序，让我们的旅行更加顺畅和愉快。综上所述，张家界天门山之行是一次令人心灵震撼的旅行体验。壮丽的自然景观、刺激的体验项目、以及优质的旅游服务，让我们收获了难以言喻的快乐与感动。如果你对自然美景和刺激体验充满向往，我强烈推荐你前往张家界的天门山，相信你也会被这里的神奇所折服，留下一段难忘的回忆。                            		                            收起评价"
慢慢,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-09-29 00:12                            
                            ","雄奇瑰丽之山，非常值得一来。1. 上山的途径，就是索道，7公里多，28分钟时长，从市区，到森林，到陡峭的悬崖，一路风光尽收眼底。我们选的A线，所以是索道上山。B线的话索道下山。买票时就可以选。2. 山上有两条线路，我们选了西线，比较长。走完可以继续走东线—这里可以到电梯入口，坐电梯去看天门洞。3. 天门洞看完，可以自己下楼梯，也可以买票坐电梯。我们当天雾很浓，这台阶过去10步就看不到了。4. 有点遗憾，因为雾太大没有远眺成功。                            		                            收起评价","雄奇瑰丽之山，非常值得一来。1. 上山的途径，就是索道，7公里多，28分钟时长，从市区，到森林，到陡峭的悬崖，一路风光尽收眼底。我们选的A线，所以是索道上山。B线的话索道下山。买票时就可以选。2. 山上有两条线路，我们选了西线，比较长。走完可以继续走东线—这里可以到电梯入口，坐电梯去看天门洞。3. 天门洞看完，可以自己下楼梯，也可以买票坐电梯。我们当天雾很浓，这台阶过去10步就看不到了。4. 有点遗憾，因为雾太大没有远眺成功。                            		                            收起评价"
