Petchia plectaneiifolia (Pichon) Leeuwenb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Petchia,"Petchia plectaneiifolia


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:997256-1
Dombeya cannabina Hils. & Bojer ex Hook.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,"Dombeya







View in Tree of Life
opens in a new tab","Dombeya cannabina


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:822964-1
Coffea sambavensis J.-F.Leroy ex A.P.Davis & Rakotonas.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Coffea







View in Tree of Life
opens in a new tab","Coffea sambavensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20003334-1
Lagrezia madagascariensis (Poir.) Moq.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Amaranthaceae,Lagrezia,"Lagrezia madagascariensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60866-1
Aloe deltoideodonta subsp. amboahangyensis Rebmann,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe deltoideodonta


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110996-1
Dombeya antsianakensis var. australis Arènes,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,"Dombeya







View in Tree of Life
opens in a new tab","Dombeya antsianakensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77249790-1
Vitex humbertii Moldenke,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Lamiaceae,Vitex,"Vitex humbertii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:865773-1
Canavalia madagascariensis J.D.Sauer,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Canavalia,"Canavalia madagascariensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:483673-1
Oeonia rosea Ridl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Oeonia,"Oeonia rosea







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:614966-1
Elatostema goudotianum var. papangae (Leandri) Leandri,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Rosales







View Order Tree
opens in a new tab",Urticaceae,Elatostema,"Elatostema goudotianum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77251020-1
Mimulopsis lyalliana var. lyalliana ,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,"Mimulopsis







View in Tree of Life
opens in a new tab","Mimulopsis lyalliana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77230974-1
Cynorkis marojejyensis Bosser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Cynorkis,"Cynorkis marojejyensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:625321-1
Trichomanes cuspidatum Willd.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Hymenophyllales







View Order Tree
opens in a new tab",Hymenophyllaceae,Trichomanes,"Trichomanes cuspidatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17228690-1
Aloe massawana Reynolds,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe massawana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529644-1
Emilia integrifolia Baker,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Emilia,"Emilia integrifolia


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203054-1
Pupalia lappacea (L.) Juss.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Amaranthaceae,Pupalia,"Pupalia lappacea


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:61335-1
Asplenium warneckei Hieron.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Aspleniaceae,Asplenium,"Asplenium warneckei


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17241230-1
Cymbopogon flexuosus (Nees ex Steud.) Will.Watson,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Cymbopogon,"Cymbopogon flexuosus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396927-1
Eriocaulon mutatum N.E.Br.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Eriocaulaceae,"Eriocaulon







View in Tree of Life
opens in a new tab","Eriocaulon mutatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:335521-1
Dombeya ambohitrensis Arènes,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,"Dombeya







View in Tree of Life
opens in a new tab","Dombeya ambohitrensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:822903-1
Hypodematium crenatum subsp. crenatum ,Plantae,,,"







View Order Tree
opens in a new tab


","Hypodematiaceae

 




View Family Tree opens in a new tab","Hypodematium

 




View in Tree of Life opens in a new tab",Hypodematium crenatum,"Hypodematium crenatum subsp. crenatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77059509-1
Aspidostemon glaber van der Werff,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Laurales







View Order Tree
opens in a new tab",Lauraceae,Aspidostemon,"Aspidostemon glaber


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77308251-1
Plumbago dawei Rolfe,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Plumbaginaceae,Plumbago,"Plumbago dawei


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:687064-1
Coleus perrieri (Hedge) A.J.Paton & Phillipson,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Lamiaceae,Coleus,"Coleus perrieri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77201162-1
Hygrophila anisocalyx Benoist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,Hygrophila,"Hygrophila anisocalyx


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:49642-1
title,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,原始链接
Coffea sambavensis J.-F.Leroy ex A.P.Davis & Rakotonas.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Coffea







View in Tree of Life
opens in a new tab","Coffea sambavensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20003334-1
Canavalia madagascariensis J.D.Sauer,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Canavalia,"Canavalia madagascariensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:483673-1
Angraecum teretifolium Ridl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Angraecum,"Angraecum teretifolium


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:616453-1
Elaeodendron pauciflorum Tul.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Celastrales







View Order Tree
opens in a new tab",Celastraceae,"Elaeodendron







View in Tree of Life
opens in a new tab","Elaeodendron pauciflorum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160716-1
Cynorkis marojejyensis Bosser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Cynorkis,"Cynorkis marojejyensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:625321-1
Hygrophila perrieri Benoist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,Hygrophila,"Hygrophila perrieri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:49746-1
Streptocarpus macropodus B.L.Burtt,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Gesneriaceae,Streptocarpus,"Streptocarpus macropodus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:382958-1
Kalanchoe bergeri Raym.-Hamet & H.Perrier,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Saxifragales







View Order Tree
opens in a new tab",Crassulaceae,"Kalanchoe







View in Tree of Life
opens in a new tab","Kalanchoe bergeri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:274274-1
Aloe deltoideodonta subsp. amboahangyensis Rebmann,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe deltoideodonta


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110996-1
Tephrosia boiviniana Baill.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Tephrosia,"Tephrosia boiviniana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:520425-1
Oeonia rosea Ridl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Oeonia,"Oeonia rosea







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:614966-1
Asplenium warneckei Hieron.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Aspleniaceae,Asplenium,"Asplenium warneckei


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17241230-1
Lijndenia melastomoides (Naudin) Jacq.-Fél.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Myrtales







View Order Tree
opens in a new tab",Melastomataceae,Lijndenia,"Lijndenia melastomoides


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:915199-1
Hygrophila anisocalyx Benoist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,Hygrophila,"Hygrophila anisocalyx


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:49642-1
Breonia boivinii Havil.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Breonia







View in Tree of Life
opens in a new tab","Breonia boivinii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:745137-1
Commelina africana L.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Commelinales







View Order Tree
opens in a new tab",Commelinaceae,"Commelina







View in Tree of Life
opens in a new tab","Commelina africana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:171880-1
Aloe massawana Reynolds,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe massawana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529644-1
Carex renauldii H.Lév.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Cyperaceae,Carex,"Carex renauldii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77177286-1
Tephrosia pungens (R.Vig.) Du Puy & Labat,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Tephrosia,"Tephrosia pungens


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20004705-1
Trichomanes cuspidatum Willd.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Hymenophyllales







View Order Tree
opens in a new tab",Hymenophyllaceae,Trichomanes,"Trichomanes cuspidatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17228690-1
Huperzia phlegmaria (L.) Rothm.,Plantae,Streptophyta,Equisetopsida,Lycopodiidae,"Lycopodiales







View Order Tree
opens in a new tab",Lycopodiaceae,Huperzia,"Huperzia phlegmaria


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:169764-3
Pupalia lappacea (L.) Juss.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Amaranthaceae,Pupalia,"Pupalia lappacea


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:61335-1
Cymbopogon flexuosus (Nees ex Steud.) Will.Watson,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Cymbopogon,"Cymbopogon flexuosus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396927-1
Aldrovanda vesiculosa L.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Droseraceae,Aldrovanda,"Aldrovanda vesiculosa







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:321755-1
Cyperus albescens (Steud.) Larridon & Govaerts,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Cyperaceae,Cyperus,"Cyperus albescens


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77154548-1
Mimulopsis lyalliana var. lyalliana ,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,"Mimulopsis







View in Tree of Life
opens in a new tab","Mimulopsis lyalliana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77230974-1
Bulbophyllum bicoloratum Schltr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Bulbophyllum,"Bulbophyllum bicoloratum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:618420-1
Grona barbata (L.) H.Ohashi & K.Ohashi,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Grona,"Grona barbata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77187394-1
Urochloa trichopus (Hochst.) Stapf,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Urochloa,"Urochloa trichopus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:426289-1
Forcipella repanda Benoist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,"Forcipella







View in Tree of Life
opens in a new tab","Forcipella repanda


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:49009-1
Gravesia macrosepala Jum.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Myrtales







View Order Tree
opens in a new tab",Melastomataceae,Gravesia,"Gravesia macrosepala


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:568856-1
Justicia subpaniculata Benoist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,"Justicia







View in Tree of Life
opens in a new tab","Justicia subpaniculata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:51685-1
Pentopetia bidens Jum. & H.Perrier,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Pentopetia,"Pentopetia bidens


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:100333-1
Plectaneia stenophylla Jum.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Plectaneia,"Plectaneia stenophylla


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:81131-1
Dichanthium aristatum (Poir.) C.E.Hubb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Dichanthium,"Dichanthium aristatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:398529-1
Secamone falcata Klack.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Secamone,"Secamone falcata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:968260-1
Secamone sparsiflora Klack.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Secamone,"Secamone sparsiflora


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:968273-1
Justicia mediocris Benoist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,"Justicia







View in Tree of Life
opens in a new tab","Justicia mediocris


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:51117-1
Secamone toxocarpoides Choux,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Secamone,"Secamone toxocarpoides


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:101400-1
Secamone furcata Klack.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Secamone,"Secamone furcata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77202558-1
Aloe antoetrana J.-B.Castillon,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe antoetrana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111049-1
Liparis sambiranoensis Schltr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Liparis,"Liparis sambiranoensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:641184-1
Ipomoea aquatica Forssk.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Solanales







View Order Tree
opens in a new tab",Convolvulaceae,Ipomoea,"Ipomoea aquatica


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:268410-1
Petchia plectaneiifolia (Pichon) Leeuwenb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Petchia,"Petchia plectaneiifolia


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:997256-1
Helichrysum hirtum Humbert,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Helichrysum,"Helichrysum hirtum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:212855-1
Distimake tuberosus (L.) A.R.Simões & Staples,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Solanales







View Order Tree
opens in a new tab",Convolvulaceae,Distimake,"Distimake tuberosus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77163293-1
Anogramma leptophylla (L.) Link,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Pteridaceae,Anogramma,"Anogramma leptophylla


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1042066-2
Hyparrhenia rufa var. rufa ,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Hyparrhenia,"Hyparrhenia rufa


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:100797-3
Moorochloa eruciformis (Sm.) Veldkamp,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Moorochloa,"Moorochloa eruciformis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77065028-1
Crateva simplicifolia J.S.Mill.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Brassicales







View Order Tree
opens in a new tab",Capparaceae,Crateva,"Crateva simplicifolia


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1002700-1
Elaeodendron pauciflorum Tul.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Celastrales







View Order Tree
opens in a new tab",Celastraceae,"Elaeodendron







View in Tree of Life
opens in a new tab","Elaeodendron pauciflorum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160716-1
Leptaulus citrioides Baill.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Aquifoliales







View Order Tree
opens in a new tab",Cardiopteridaceae,Leptaulus,"Leptaulus citrioides


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:607985-1
Aloe bruynsii P.I.Forst.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe bruynsii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60432178-2
Helichrysum calocladum Humbert,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Helichrysum,"Helichrysum calocladum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:212529-1
Solanum terminale Forssk.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Solanales







View Order Tree
opens in a new tab",Solanaceae,Solanum,"Solanum terminale


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:821239-1
Carex renauldii H.Lév.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Cyperaceae,Carex,"Carex renauldii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77177286-1
Ampelosycios scandens Thouars,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Cucurbitales







View Order Tree
opens in a new tab",Cucurbitaceae,Ampelosycios,"Ampelosycios scandens


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:291247-1
Kalanchoe bergeri Raym.-Hamet & H.Perrier,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Saxifragales







View Order Tree
opens in a new tab",Crassulaceae,"Kalanchoe







View in Tree of Life
opens in a new tab","Kalanchoe bergeri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:274274-1
Xerosicyos danguyi Humbert,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Cucurbitales







View Order Tree
opens in a new tab",Cucurbitaceae,Xerosicyos,"Xerosicyos danguyi


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:294393-1
Euphorbia beharensis Leandri,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malpighiales







View Order Tree
opens in a new tab",Euphorbiaceae,Euphorbia,"Euphorbia beharensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77131430-1
Aloe imalotensis Reynolds,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe imalotensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529532-1
Dalbergia peltieri Bosser & R.Rabev,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Dalbergia,"Dalbergia peltieri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:993183-1
Euphorbia leuconeura Boiss.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malpighiales







View Order Tree
opens in a new tab",Euphorbiaceae,Euphorbia,"Euphorbia leuconeura


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:347109-1
Dalbergia chapelieri Baill.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Dalbergia,"Dalbergia chapelieri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:490134-1
Streptocarpus macropodus B.L.Burtt,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Gesneriaceae,Streptocarpus,"Streptocarpus macropodus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:382958-1
Tephrosia boiviniana Baill.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Tephrosia,"Tephrosia boiviniana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:520425-1
Clerodendrum insolitum Moldenke,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Lamiaceae,Clerodendrum,"Clerodendrum insolitum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:862531-1
Coleus perrieri (Hedge) A.J.Paton & Phillipson,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Lamiaceae,Coleus,"Coleus perrieri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77201162-1
Dombeya ambohitrensis Arènes,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,"Dombeya







View in Tree of Life
opens in a new tab","Dombeya ambohitrensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:822903-1
Vitex humbertii Moldenke,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Lamiaceae,Vitex,"Vitex humbertii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:865773-1
Dombeya cannabina Hils. & Bojer ex Hook.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,"Dombeya







View in Tree of Life
opens in a new tab","Dombeya cannabina


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:822964-1
Aerangis fuscata (Rchb.f.) Schltr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Aerangis,"Aerangis fuscata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:615013-1
Breonia boivinii Havil.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Breonia







View in Tree of Life
opens in a new tab","Breonia boivinii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:745137-1
Coffea sambavensis J.-F.Leroy ex A.P.Davis & Rakotonas.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Coffea







View in Tree of Life
opens in a new tab","Coffea sambavensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20003334-1
Cynorkis marojejyensis Bosser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Cynorkis,"Cynorkis marojejyensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:625321-1
Aeranthes schlechteri Bosser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Aeranthes,"Aeranthes schlechteri







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:615112-1
